Nom,Genre,Épisodes,Date de Diffusion,Score,Rank,Téléspectateurs,Acteurs,Date Debut,Date Fin
Our Memories (2024),"Romance, Youth",21.0,"Apr 30, 2024 - May 3, 2024",7.6,5235.0,"1,679","Rain Lu, Fang Xiao Dong, Cheng Hong Xin, Li Meng Ying, Cao Sai Ya, Yang Yi Kai","Apr 30, 2024","May 3, 2024"
Rise from the Ashes (2024),"Historical, Romance, Fantasy",24.0,"May 2, 2024 - May 18, 2024",7.6,5297.0,"1,913","Jiang Zhi Nan, Li Zong Lin, Zha Jie, Liu Bei Ge, Jiang Peng Yu, Wang Hong","May 2, 2024","May 18, 2024"
In Between (2024),"Romance, Life",27.0,"Sep 19, 2024 - Oct 4, 2024",7.6,5160.0,"2,818","Tian Xi Wei, Xin Yun Lai, Zhang Zhe Hua, Zeng Meng Xue, Yuan Wen Kang, Zhou Yu Tong","Sep 19, 2024","Oct 4, 2024"
Deep in the White Clouds There Is My Dear (2024),"Comedy, Romance",80.0,"Jun 13, 2024",7.6,5565.0,693,,"Jun 13, 2024",
Interlaced Scenes (2024),"Thriller, Mystery",15.0,"Jul 11, 2024 - Jul 17, 2024",7.6,5479.0,798,"Ma Yi Li, Tong Da Wei, Gao Zhi Ting, Lan Ying Ying, Christine Zheng, Wang Jin Song","Jul 11, 2024","Jul 17, 2024"
Dawn Amidst Hidden Clouds (2024),"Thriller, Historical, Mystery, Romance",22.0,"Oct 24, 2024 - Nov 9, 2024",7.6,5396.0,"2,361","Chang Hua Sen, Zhao Qing, Qiu Hong Kai, Wang Xin Ting, Cheng Si Han, Liu Wei Sen","Oct 24, 2024","Nov 9, 2024"
Palace Shadows: Between Two Princes (2024),"Thriller, Historical, Romance",24.0,"Feb 28, 2024 - Mar 9, 2024",7.6,5425.0,"1,748","Zizi Xu, Lin Ze Hui, Jerome Deng, Lin Jun Yi, Huang Enyu, Huang Yun Yun","Feb 28, 2024","Mar 9, 2024"
Come to Me (2024),"Romance, Drama",100.0,"Jun 21, 2024",7.5,5681.0,629,,"Jun 21, 2024",
Islands (2024),"Romance, Life, Drama, Family",40.0,"Feb 13, 2024 - Feb 29, 2024",7.5,5711.0,"1,277","Ma Si Chun, Xu Fan, Li Cheng Ru, Liang Jing, Li Xiao Ran, Song Chun Li","Feb 13, 2024","Feb 29, 2024"
Young Babylon (2024),"Adventure, Romance, Life, Youth",26.0,"Apr 29, 2024 - May 9, 2024",7.5,5820.0,"3,994","Neo Hou, Yang Cai Yu, Julia Xiang, Fei Qi Ming, Zhang Teng, Chen Yi Ge","Apr 29, 2024","May 9, 2024"
My Wife's Double Life (2024),"Thriller, Historical, Mystery, Romance",24.0,"May 31, 2024 - Jun 10, 2024",7.5,5687.0,"4,294","Tang Xiao Tian, Sabrina Zhuang, Lin Feng Song, Cheng Zi, Li Pei En, Li Bo Yang","May 31, 2024","Jun 10, 2024"
Saved by His Tender Love (2024),Romance,94.0,"Aug 22, 2024",7.6,5463.0,587,,"Aug 22, 2024",
False Face and True Feelings (2024),"Action, Historical, Mystery, Romance",26.0,"Apr 12, 2024 - Apr 25, 2024",7.5,5911.0,"2,036","Han Dong Lin, Cui Yi Liang, Zhao Yuan You, Jiang Xi Rao, Jiang Yu Jia, Zhu Da Dan Er","Apr 12, 2024","Apr 25, 2024"
The Love Duel (2024),"Historical, Romance, Fantasy",23.0,"Apr 23, 2024 - May 6, 2024",7.5,5776.0,"1,005","Smile Hu, Wang Xuan, Leo Yang, Lei Si Yu, Sun Sheng Hao, Zhang Yu Han","Apr 23, 2024","May 6, 2024"
Don't Disturb Me Farming (2024),"Romance, Drama",24.0,"Mar 6, 2024 - Mar 21, 2024",7.5,5962.0,"1,678","Qu Meng Ru, Li Zhuo Yang, Liu Mu Zi, Guo Xing Chen, Jiang Zi Teng, Feng Li Ping","Mar 6, 2024","Mar 21, 2024"
Sword and Fairy (2024),"Romance, Wuxia, Fantasy",36.0,"Jan 18, 2024 - Feb 5, 2024",7.5,5900.0,"11,217","Xu Kai, Esther Yu, Fu Xin Bo, Wan Peng, Bai Bing Ke, Zhou Zhan","Jan 18, 2024","Feb 5, 2024"
Love in the Desert (2024),"Historical, Romance, Drama, Martial Arts",26.0,"Sep 29, 2024 - Oct 15, 2024",7.5,5877.0,"5,370","Hankiz Omar, Alen Fang, Levin Gao, Guan Chang, Ji Ling Chen, Yu Cong","Sep 29, 2024","Oct 15, 2024"
The Fragments of Kylin (2024),"Romance, Wuxia, Fantasy",24.0,"Jul 31, 2024",7.5,6160.0,"2,232","Yang Xi Zi, Sun Chen Jun, Gao Zi Tian, He Shi, Cen Ming, Ding Zi En","Jul 31, 2024",
Heartbeat Deviation (2024),Romance,99.0,"Aug 5, 2024",7.5,5833.0,518,,"Aug 5, 2024",
The Revenge of Begonia (2024),"Historical, Romance, Drama",24.0,"Apr 26, 2024 - May 12, 2024",7.5,5905.0,"2,144","Hong Xiao, Yan Zi Xian, Cao Jun Hao, Nuo Nuo, Yang Xiao Bo, Yan Jin Feng","Apr 26, 2024","May 12, 2024"
